Title,Conference,Year,Link,Author,domain,DataType,Visualisation,Interaction,Machine_Learning,DataSource,Regulatory_Agencies,Regulations_Types,Regulation_Aims,Risk_Type,Financial_Risks,Risk_Management,picture
FinVis: Applied visual analytics for personal financial planning,IEEE VIS/TVCG,2009,https://ieeexplore.ieee.org/abstract/document/5333920?casa_token=SobnDIUvqp4AAAAA:4QHmq0qii12NxNrzwqrHplOPX6ZSIam66qy4uQei9hG6_s7rWXnhxvWTmMvQJxJWR_wvTZhXPes,Stephen Rudolph; Anya Savikhin; David S. Ebert,Computer science,"Record data,Time serials","The line graph, Matrix","Connnect,Explore,Reconfigure,Select",None,"Bank,Stock company",Consumer,"Assets/Fund analysis,stock analysis",Investment risk,Business risk,Liquidity Risk,Evaluation,41.png
Visual Analytics on the Financial Market: Pixel-based Analysis and Comparison of Long-Term Investments,International Conference Information Visualisation,2008,https://ieeexplore.ieee.org/abstract/document/4577961?casa_token=EvI03mwo-DkAAAAA:yxiUWN3LSB3vUXNttOXmMinIYenM4-aSRkjGxuQ1Txr-Bfopsu878VhU8N7ABXl1s7BcTj9WAdE,Hartmut Ziegler; Tilo Nietzschmann; Daniel A. Keim,Computer science,"Record data,Time serials",Pixel matrix,"Abstract/Elaborate,Reconfigure",None,None,Consumer,Assets/Fund analysis,Investment risk,Business risk,Liquidity Risk,Evaluation,55.png
Visualization Technique for Linked Changes in Exchange Rates Between Three Currencies,"KICSS - International Conference on Knowledge, Information and Creativity Support Systems",2008,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.548.9846&rep=rep1&type=pdf,Yu Suzuki,Computer science,"Record data,Time serials","Linked triangle chart,line chart","Abstract/Elaborate,Connnect,Explore",None,None,Regulator,Foreign Exchange rate analysis,"Investment Banking,Trading & sales",Business risk,Market Risk,Evaluation,82.png
Visualization of Financial Trends Using Chance Discovery Methods,"International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems",2008,https://link.springer.com/chapter/10.1007/978-3-540-69052-8_74,Tzu-Fu ChiuChao-Fu HongYu-Ting Chiu,Computer science,"Network,Record data,Time serials","Node-link diagram,Star plot",Abstract/Elaborate,None,None,Regulator,Financial trend analysis,Financial stability monitoring,Financial risk,Market Risk,"Monitor,Evaluation",84.png
Visualizing Time-Dependent Data in Multivariate Hierarchic Plots - Design and Evaluation of anEconomic Application,International Conference Information Visualisation,2008,https://ieeexplore.ieee.org/abstract/document/4577939/?casa_token=COWQkfG4_OoAAAAA:M2-rWP2QZ0mClFx4hOyB6PMqEm0YIHkckVFKoSw0091k19sWoo76ettQN8Q51dsdk9yrG1eLPLg,Tatiana Tekusova; Tobias Schreck,Computer science,"Record data, Time serials","Sunburst diagram,Icicle diagram","Abstract/Elaborate,Connnect,Encode,Filter,Reconfigure,Select",None,Bank,Regulator,Inflation monitoring,Financial stability monitoring,Financial risk,Market Risk,Evaluation,88.png
"WireVis: Visualization of Categorical, Time-Varying Data From Financial Transactions",IEEE VIS/TVCG,2007,https://ieeexplore.ieee.org/abstract/document/4389009?casa_token=Qm2LwytStDwAAAAA:YyDPdtIROk-YDEcrREou_rx79yKAB2Lx8aDv8lN0YeeDaYFShlZL9pynncvUyacLLi9FUFKyZhM,Remco Chang; Mohammad Ghoniem; Robert Kosara; William Ribarsky; Jing Yang; Evan Suma; Caroline Ziemkiewicz; Daniel Kern; Agus Sudjianto,Computer science,"Time serials,Record data","Heatmap,Multi-line chart,Histogram,network visualization","Abstract/Elaborate,Connnect,Encode,Explore,Filter,Select",k-means,Bank,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,13.png
Relevance Driven Visualization of Financial Performance Measures,EuroVis,2007,http://kops.uni-konstanz.de/handle/123456789/5590,"Ziegler, Hartmut; Nietzschmann, Tilo; Keim, Daniel A.",Computer science,"Record data,Time serials",The pixel-based paradigm,"Abstract/Elaborate,ReconfigureEncode",None,Stock company,Consumer,Assets/Fund analysis,Investment risk,Business risk,Liquidity Risk,Evaluation,37.png
Applying Animation to the Visual Analysis of Financial Time-Dependent Data,International Conference Information Visualization,2007,https://ieeexplore.ieee.org/abstract/document/4271968?casa_token=kSLq4tIS2S4AAAAA:ucFsg5JRi8u5-3w3KZgkg1G5AYMClYH1R1TVFSdaDPiqDCrkZmMDIkh3PZbh8V08FCNR_-hIgME,Tatiana Tekusova; Jorn Kohlhammer,Computer science,"Record data,Time serials",Glyph plot,"Abstract/Elaborate,Encode,Explore,Reconfigure,Select",None,None,Consumer,Assets/Fund analysis,Investment risk,Business risk,Liquidity Risk,Evaluation,39.png
Trajectory-Based Visual Analysis of Large Financial TimeSeries Data,ACM SIGKDD Explorations Newsletter,2007,https://dl.acm.org/doi/abs/10.1145/1345448.1345454?casa_token=SM7ROLkWLU0AAAAA:HnSCHKyL_-9-CWLUg9FD6HoJRg-1GiaE6MUQlfEqYE3DCcc5pa-Y0LTg4B6bNI73REdOh7Qpnu_MYeA,Tobias Schreck; Tatiana Teku?ov¨¢; Jorn Kohlhammer; Dieter Felln,Computer science,"Record data,Time serials","Squared self-organizing map grid,Pixel","Abstract/Elaborate,Connnect,Explore,Filter,Select",Self-organizing maps,None,Consumer,"Assets/Fund analysis,stock analysis",Investment risk,Business risk,Liquidity Risk,Evaluation,48.png
Visual Exploration and Discovery of atypical Behavior in Financial Time Series Data using Two-Dimensional Colormaps,International Conference Information Visualization,2007,https://ieeexplore.ieee.org/abstract/document/4271999?casa_token=-Rp4huzgIWMAAAAA:e5A1S25unTtDeeoMRBYnP_8N0rWyVOECTdIHytF-7dzhBzC0CycQrW_nCdIw1v9b4v1-MBPVK-M,Hartmut Ziegler; Tilo Nietzschmann; Daniel A. Keim,Computer science,"Record data,Time serials",Pixel,"Encode,Explore,Reconfigure",None,Stock company,"Regulator,Consumer","stock analysis,Assets/Fund analysis","Investment risk,Investment Banking,Asset management",Business risk,Liquidity Risk,Evaluation,81.png
Systemic risk monitor: A model for systemic risk analysis and stress testing of banking systems,Financial Stability Report,2006,https://www.oenb.at/dam/jcr:e3849a11-ca00-4060-ae0c-cf5e873824b7/fsr_11_special_topics_02_tcm16-43720.pdf,"M Boss, G Krenn, C Puhr, M Summer",Financial,Record data,None,Abstract/Elaborate,SRM Modle,Bank,Regulator,Financial analysis,Financial stability monitoring,Financial risk,"Market Risk,Credit Risk",Monitor,10.png
A spectral visualization system for analyzing financial time series data,EuroVis,2006,http://kops.uni-konstanz.de/handle/123456789/5565,"Keim, Daniel A.; Nietzschmann, Tilo; Schelwies, Norman; Schneidewind, J??rn; Schreck, Tobias; Ziegler, Hartmu",Computer science,Time serials,The pixel-based growth Matrix,"Abstract/Elaborate,Encode",None,None,None,Assets/Fund analysis,Asset management,Investment risk,"Operational Risk,Operational Risk","Awareness,Evaluation",31.png
Using MoneyTree To Represent Financial Data,International Conference on Information Visualisation,2004,https://ieeexplore.ieee.org/abstract/document/1320158?casa_token=Rt6-9lcEcocAAAAA:OOkDYUmYvwzkxwV5ZMRkHyw_pnnKWE8OK8cbWfbVeMsZllm61k6MQyHOahWh57nQiFxTp3RlzEY,Xiaobin Shen; P. Eades,Computer science,Record data,Glyph,Abstract/Elaborate,None,None,Consumer,stock analysis,"Asset management,Investment Banking",Business risk,Liquidity Risk,Evaluation,87.png
FundExplorer: supporting the diversification of mutual fund portfolios using context treemaps,IEEE Symposium on Information Visualization,2003,https://ieeexplore.ieee.org/abstract/document/1249027,C. Csallner; M. Handte; O. Lehmann; J. Stasko,Computer science,Record data,Tree map,"Select,Filter,Explore,Abstract/Elaborate",None,None,"Regulator,Consumer",mutual funds analysis,"Investment Banking,Asset management, Mutual funds analysis",Business risk,Liquidity Risk,Evaluation,86.png
Visualising a fund manager flow graph with columns and worms,International Conference on Information Visualisation,2002,https://ieeexplore.ieee.org/abstract/document/1028770?casa_token=rChkmwQFFRsAAAAA:wY-2VCFtE3bML8CnJ8_zGh2Y2_P8gTYX-45Ss8csjJDpt4zZoXnqU1CHLRIotDtngO4T0wZFw74,T. Dwyer; P. Eades,Computer science,"Record data,Time serials",Node-link diagram,"Abstract/Elaborate,Connnect,Explore,Filter,Reconfigure,Select",None,Stock company,Consumer,"stock analysis,Assets/Fund analysis",Mutual funds analysis,Business risk,Liquidity Risk,Evaluation,80.png
E-R modeling and visualization of large mutual fund data,Journal of Visualization,2002,https://content.iospress.com/articles/journal-of-visualization/jov5-2-12,"Xiong, F. | Prakash, E.C. | Ho, K.W.",Computer science,"Spatial,Record data,Time serials","Geographic Map,Scatter plot,Splat visualization","Abstract/Elaborate,Encode,Explore,Reconfigure,Select",None,None,"Regulator,Consumer",mutual funds analysis,"Investment Banking,Asset management",Business risk,Liquidity Risk,Evaluation,85.png
The NASD Regulation Advanced-Detection System,AI Magazine,1999,https://ojs.aaai.org/index.php/aimagazine/article/view/1440,Kirkland J.D,Computer science,"Record data,Time serials","Line graph,Scatter plot,Sequence diagram,Node-link diagram,Bar chart",Abstract/Elaborate,"Association rules,Decision Tree,Pattern-matching",Bank,Regulator,"stock analysis,fraud detection",Fraud and market abuse detection and prevention,Business risk,"Operational Risk,Liquedity Risk",Identify,76.png
An interactive framework for visualizing foreign currency exchange options,Proceedings Visualization,1999,https://ieeexplore.ieee.org/abstract/document/809929?casa_token=EpY5QznMPyEAAAAA:8-5dunYdbXgi00RhzvQWUXV-jX_xSEUFcFehvdOQW5SzWM7vlQe5e3Lmd9ny7jjpDMURxlsFBtE,Gresh D.L,Computer science,"Record data,Time serials",Surface plot,"Abstract/Elaborate,Connnect,Encode,Explore,Filter,Reconfigure",None,Bank,"Regulator,Consumer",Foreign exchange rate analysis,Financial stability monitoring,Business risk,Market Risk,"Awareness,Evaluation",77.png
Effective Information Visualization - Guidelines and Metrics for 3D Interactive Representations of Business Data,University of Toronto,1999,https://central.bac-lac.gc.ca/.item?id=MQ45944&op=pdf&app=Library&oclc_number=81436424,Brath R,Computer science,"Record data,Time serials","Bar chart,Small multiples,Floors and walls,Line graph","Abstract/Elaborate,Connnect,Explore,Filter,Reconfigure,Select",None,Stock company,"Regulator,Consumer",stock analysis,"Investment Banking,Asset management",Business risk,Liquidity Risk,Evaluation,78.png
Visualizing the stock market,CHI - ACM Conference on Human Factors in Computing Systems,1999,https://dl.acm.org/doi/abs/10.1145/632716.632834?casa_token=nkK50nke0BkAAAAA:1KjD8TwgMH518E_90CuQey4nUT9oTQBiX7fzCGo9bQWnh7JTWfPI5V9ODPDTR7MsdDvLhHANd7zaVuc,Martin Wattenberg,Computer science,Record data,Tree map,Abstract/Elaborate,None,Stock company,"Consumer,Regulator",stock analysis,"Investment Banking,Asset management",Business risk,Liquidity Risk,Evaluation,79.png
Domesticating Bead: adapting an information visualization system to a financial institution,"Visualization Conference, Information Visualization Symposium and Parallel Rendering Symposium",1997,https://ieeexplore.ieee.org/abstract/document/636789,D. Brodbeck; M. Chalmers; A. Lunzer; P. Cotture,Computer science,Record data,Scatter plot,"Abstract/Elaborate,Connnect,Encode,Explore,Filter,Select",MDS,Bank,Consumer,Assets/Fund analysis,Fixed incomes analysis,Business risk,Liquidity Risk,Evaluation,74.png
Business visualization applications,CG&A - IEEE Computer Graphics and Applications Magazine,1997,https://ieeexplore.ieee.org/abstract/document/595273?casa_token=hJ9PhqSkslQAAAAA:o_XiHW5KA6S9PJtmAxRfF-Qncm0TNc4rRYgxeY7Y3VQo38Ooj1t04zSJDkYglf5puV6m8CScm8k,Wright W,Computer science,"Record data,Time serials",3D Floors and walls(Projected 2D charts on 3D walls),"Abstract/Elaborate,Connnect,Explore,Filter,Select",None,Stock company,"Regulator,Consumer",stock analysis,Investment Banking,Business risk,Liquidity Risk,Evaluation,75.png
Circle Segments: A Technique for Visually Exploring Large Multidimensional Data Sets,IEEE Visualization Conference,1996,http://kops.uni-konstanz.de/handle/123456789/5943,"Ankerst, Mihael; Keim, Daniel A.; Kriegel, Hans-Peter",Computer science,"Record data,Time serials",Pixel,"Abstract/Elaborate,Encode",None,Stock company,Consumer,stock analysis,"Asset management,Investment Banking",Business risk,Liquidity Risk,Evaluation,72.png
FINESSE: a financial information spreadsheet,IEEE Symposium on Information Visualization,1996,https://ieeexplore.ieee.org/abstract/document/559222,A. Varshney; A. Kaufman,Computer science,"Record data,Time serials",Plot matrix,"Abstract/Elaborate,Connnect,Explore,Filter,Reconfigure,Select",None,Stock company,Consumer,stock analysis,"Asset management,Investment Banking",Business risk,Liquidity Risk,Evaluation,73.png
Financial Viewpoints: using point-of-view to enable understanding of information,CHI - ACM Conference on Human Factors in Computing Systems,1995,https://dl.acm.org/doi/pdf/10.1145/223355.223524?casa_token=GCHZoNZ4dTAAAAAA:tHCCQ-fGMWM-ebYNKXm0hLux1vyV71nESVPmHwIsM5CcaZ2L-HUNK_DFhhRnfT_2hEK-P0NFMJonMBA,Lisa Strausfeld,Computer science,Record data,Bar chart,Abstract/Elaborate,None,Bank,Consumer,Assets/Fund analysis,Mutual funds analysis,Business risk,Liquidity Risk,Evaluation,71.png
Adapting Treemaps to Stock Portfolio Visualization,Institute for Systems Research Technical Reports,1992,https://drum.lib.umd.edu/handle/1903/5301,"Jungmeister, Walter-Alexander
Turo, D.",Computer science,Record data,Tree map,"Abstract/Elaborate,Encode,Explore,Reconfigure,Select",None,Stock company,,stock analysis,"Asset management,Investment Banking",Business risk,Liquidity Risk,Evaluation,70.png
